"","poverty_level","primary_focus_area","date_completed","total_price_excluding_optional_support","students_reached"
"1","highest poverty","Applied Learning","2002-09",3632,0
"2","low poverty","Applied Learning","2002-09",413,0
"3","moderate poverty","Applied Learning","2002-09",1541.08,0
"4","high poverty","History & Civics","2002-09",187,0
"5","highest poverty","History & Civics","2002-09",3079,0
"6","high poverty","Literacy & Language","2002-09",1014,0
"7","highest poverty","Literacy & Language","2002-09",13135.7,0
"8","low poverty","Literacy & Language","2002-09",2144,0
"9","moderate poverty","Literacy & Language","2002-09",507,0
"10","high poverty","Math & Science","2002-09",1855,0
"11","highest poverty","Math & Science","2002-09",9113.1,0
"12","moderate poverty","Math & Science","2002-09",120,0
"13","high poverty","Music & The Arts","2002-09",592,0
"14","highest poverty","Music & The Arts","2002-09",3157.5,0
"15","low poverty","Music & The Arts","2002-09",1383,0
"16","moderate poverty","Music & The Arts","2002-09",54,0
"17","highest poverty","Applied Learning","2002-10",4305,0
"18","moderate poverty","Applied Learning","2002-10",715,0
"19","highest poverty","Health & Sports","2002-10",95,0
"20","highest poverty","History & Civics","2002-10",12016,0
"21","low poverty","History & Civics","2002-10",390,0
"22","highest poverty","Literacy & Language","2002-10",7095,0
"23","moderate poverty","Literacy & Language","2002-10",1004,0
"24","highest poverty","Math & Science","2002-10",2463,0
"25","highest poverty","Music & The Arts","2002-10",860,0
"26","highest poverty","Applied Learning","2002-11",12896.92,0
"27","low poverty","Applied Learning","2002-11",528,0
"28","moderate poverty","Applied Learning","2002-11",1071,0
"29","high poverty","History & Civics","2002-11",140,0
"30","highest poverty","History & Civics","2002-11",2703,0
"31","moderate poverty","History & Civics","2002-11",685,0
"32","highest poverty","Literacy & Language","2002-11",20110.72,0
"33","low poverty","Literacy & Language","2002-11",218.9,0
"34","moderate poverty","Literacy & Language","2002-11",140,0
"35","highest poverty","Math & Science","2002-11",6343.23,0
"36","highest poverty","Music & The Arts","2002-11",1881,0
"37","moderate poverty","Music & The Arts","2002-11",1080,0
"38","highest poverty","Applied Learning","2002-12",13700.01,0
"39","low poverty","Applied Learning","2002-12",1327.19,0
"40","moderate poverty","Applied Learning","2002-12",500,0
"41","highest poverty","Health & Sports","2002-12",4469,0
"42","highest poverty","History & Civics","2002-12",7606.16,0
"43","low poverty","History & Civics","2002-12",3451,0
"44","high poverty","Literacy & Language","2002-12",259,0
"45","highest poverty","Literacy & Language","2002-12",16756.6,0
"46","low poverty","Literacy & Language","2002-12",1904.04,0
"47","moderate poverty","Literacy & Language","2002-12",609,0
"48","highest poverty","Math & Science","2002-12",9022.76,0
"49","low poverty","Math & Science","2002-12",1801,0
"50","highest poverty","Music & The Arts","2002-12",6648.27,0
"51","low poverty","Music & The Arts","2002-12",3933.59,0
"52","highest poverty","Applied Learning","2003-01",7306.99,0
"53","high poverty","History & Civics","2003-01",196.49,0
"54","highest poverty","History & Civics","2003-01",1686.89,20
"55","highest poverty","Literacy & Language","2003-01",10367,0
"56","low poverty","Literacy & Language","2003-01",2595,0
"57","moderate poverty","Literacy & Language","2003-01",230.67,0
"58","highest poverty","Math & Science","2003-01",11924.11,0
"59","highest poverty","Music & The Arts","2003-01",813,0
"60","highest poverty","Applied Learning","2003-02",4877.9,0
"61","high poverty","History & Civics","2003-02",307.22,20
"62","highest poverty","History & Civics","2003-02",1619.43,0
"63","low poverty","History & Civics","2003-02",856,0
"64","highest poverty","Literacy & Language","2003-02",8706.36,0
"65","low poverty","Literacy & Language","2003-02",778,0
"66","moderate poverty","Literacy & Language","2003-02",392,0
"67","highest poverty","Math & Science","2003-02",812,0
"68","high poverty","Music & The Arts","2003-02",405,0
"69","highest poverty","Music & The Arts","2003-02",2722,0
"70","low poverty","Music & The Arts","2003-02",270,0
"71","highest poverty","Applied Learning","2003-03",3157.89,0
"72","highest poverty","Health & Sports","2003-03",2544,0
"73","highest poverty","History & Civics","2003-03",1540.17,0
"74","highest poverty","Literacy & Language","2003-03",9668.82,0
"75","low poverty","Literacy & Language","2003-03",995,0
"76","moderate poverty","Literacy & Language","2003-03",1713,0
"77","high poverty","Math & Science","2003-03",411.4,20
"78","highest poverty","Math & Science","2003-03",9381.89,0
"79","low poverty","Math & Science","2003-03",2733,0
"80","highest poverty","Music & The Arts","2003-03",4120.33,0
"81","low poverty","Music & The Arts","2003-03",277,0
"82","highest poverty","Applied Learning","2003-04",10143.65,0
"83","low poverty","Applied Learning","2003-04",1300,0
"84","moderate poverty","Applied Learning","2003-04",279.72,0
"85","highest poverty","Health & Sports","2003-04",1314,0
"86","highest poverty","History & Civics","2003-04",10272.48,0
"87","low poverty","History & Civics","2003-04",311,0
"88","moderate poverty","History & Civics","2003-04",806,0
"89","highest poverty","Literacy & Language","2003-04",18509.8,0
"90","low poverty","Literacy & Language","2003-04",723,0
"91","moderate poverty","Literacy & Language","2003-04",2426.83,0
"92","highest poverty","Math & Science","2003-04",22605,0
"93","highest poverty","Music & The Arts","2003-04",11562,0
"94","low poverty","Music & The Arts","2003-04",850,0
"95","moderate poverty","Music & The Arts","2003-04",421,0
"96","high poverty","Applied Learning","2003-05",645.75,0
"97","highest poverty","Applied Learning","2003-05",1982,0
"98","moderate poverty","Applied Learning","2003-05",402.62,0
"99","high poverty","History & Civics","2003-05",318,0
"100","highest poverty","History & Civics","2003-05",3819.03,0
"101","highest poverty","Literacy & Language","2003-05",6519.77,0
"102","low poverty","Literacy & Language","2003-05",364,0
"103","moderate poverty","Literacy & Language","2003-05",2729.98,0
"104","highest poverty","Math & Science","2003-05",14976.78,0
"105","highest poverty","Music & The Arts","2003-05",1379,0
"106","highest poverty","Applied Learning","2003-06",1221.77,0
"107","moderate poverty","Applied Learning","2003-06",414,0
"108","highest poverty","History & Civics","2003-06",108.34,0
"109","high poverty","Literacy & Language","2003-06",123.41,0
"110","highest poverty","Literacy & Language","2003-06",4700.88,0
"111","moderate poverty","Literacy & Language","2003-06",97,0
"112","highest poverty","Math & Science","2003-06",2207.13,0
"113","high poverty","Music & The Arts","2003-06",6952,20
"114","highest poverty","Music & The Arts","2003-06",379,0
