"","poverty_level","resource_type","date_posted","students_reached","total_price_excluding_optional_support","requests"
"1","high poverty","Books","2002",0,703,2
"2","highest poverty","Books","2002",0,79437.98,132
"3","low poverty","Books","2002",0,6842.19,11
"4","moderate poverty","Books","2002",0,918,3
"5","highest poverty","Other","2002",0,4177.49,34
"6","low poverty","Other","2002",0,0,1
"7","high poverty","Supplies","2002",40,2231.57,6
"8","highest poverty","Supplies","2002",0,66795.7,137
"9","low poverty","Supplies","2002",0,8539.78,14
"10","moderate poverty","Supplies","2002",20,3334.9,13
"11","high poverty","Technology","2002",20,1777,2
"12","highest poverty","Technology","2002",0,96070.02,96
"13","low poverty","Technology","2002",0,4533.75,8
"14","moderate poverty","Technology","2002",0,5197.75,12
"15","high poverty","Trips","2002",0,140,1
"16","highest poverty","Trips","2002",0,22699.1,32
"17","low poverty","Trips","2002",0,7365,6
"18","highest poverty","Visitors","2002",0,400,1
"19","low poverty","Visitors","2002",0,1400,2
"20","moderate poverty","Visitors","2002",0,300,1
"21","high poverty","Books","2003",160,6447.39,12
"22","highest poverty","Books","2003",584,202355.84,456
"23","low poverty","Books","2003",0,4713.89,8
"24","moderate poverty","Books","2003",65,17430.34,34
"25","high poverty","Other","2003",80,3229.48,7
"26","highest poverty","Other","2003",132,1066264.73,285
"27","low poverty","Other","2003",0,5016.63,10
"28","moderate poverty","Other","2003",0,2397.77,23
"29","high poverty","Supplies","2003",260,17167.85,26
"30","highest poverty","Supplies","2003",350,279757.76,647
"31","low poverty","Supplies","2003",0,6678.22,14
"32","moderate poverty","Supplies","2003",60,20549.7,62
"33","high poverty","Technology","2003",40,5118.39,7
"34","highest poverty","Technology","2003",1140,150372.5,279
"35","low poverty","Technology","2003",20,8672.98,8
"36","moderate poverty","Technology","2003",40,5617.31,14
"37","high poverty","Trips","2003",20,1695.35,3
"38","highest poverty","Trips","2003",220,58822.02,58
"39","low poverty","Trips","2003",0,5661.25,7
"40","highest poverty","Visitors","2003",0,4604.41,6
"41","high poverty","Books","2004",13053,56064.48,155
"42","highest poverty","Books","2004",39256,310866.03,785
"43","low poverty","Books","2004",1883,18565.42,27
"44","moderate poverty","Books","2004",4002,30107.92,78
"45","high poverty","Other","2004",2396,12846.28,36
"46","highest poverty","Other","2004",12362,90091.7,299
"47","low poverty","Other","2004",495,2704.37,8
"48","moderate poverty","Other","2004",1392,2648.1,21
"49","high poverty","Supplies","2004",40275,106098.55,290
"50","highest poverty","Supplies","2004",103628,608004.77,1655
"51","low poverty","Supplies","2004",3352,16389.55,30
"52","moderate poverty","Supplies","2004",12325,64106.8,237
"53","high poverty","Technology","2004",15641,81762.63,112
"54","highest poverty","Technology","2004",54004,394091.02,577
"55","low poverty","Technology","2004",1293,7498.94,10
"56","moderate poverty","Technology","2004",5489,29186.5,54
"57","high poverty","Trips","2004",366,6997.32,13
"58","highest poverty","Trips","2004",4498,113912.17,138
"59","low poverty","Trips","2004",85,4301.93,5
"60","moderate poverty","Trips","2004",449,12453.84,12
"61","high poverty","Visitors","2004",173,3408.11,3
"62","highest poverty","Visitors","2004",2439,10551.2,18
"63","low poverty","Visitors","2004",75,1470.88,1
"64","moderate poverty","Visitors","2004",90,1394,1
"65","high poverty","Books","2005",38753,177878.5,395
"66","highest poverty","Books","2005",95267,675005.04,1409
"67","low poverty","Books","2005",2916,25184.27,41
"68","moderate poverty","Books","2005",12234,64797.99,150
"69","high poverty","Other","2005",7443,36278.15,83
"70","highest poverty","Other","2005",25884,251629.12,325
"71","low poverty","Other","2005",233,1176.29,3
"72","moderate poverty","Other","2005",3014,22655.15,48
"73","high poverty","Supplies","2005",60896,329887.66,633
"74","highest poverty","Supplies","2005",263846,1390093.01,2950
"75","low poverty","Supplies","2005",5626,28762.51,45
"76","moderate poverty","Supplies","2005",29624,167233.76,376
"77","high poverty","Technology","2005",52862,393715.04,392
"78","highest poverty","Technology","2005",164793,1357911.78,1460
"79","low poverty","Technology","2005",6496,50002.22,50
"80","moderate poverty","Technology","2005",17638,159022.66,166
"81","high poverty","Trips","2005",2269,92322.72,69
"82","highest poverty","Trips","2005",16586,521839.62,443
"83","low poverty","Trips","2005",380,17149.79,17
"84","moderate poverty","Trips","2005",1706,35590.21,48
"85","high poverty","Visitors","2005",4018,23355.6,21
"86","highest poverty","Visitors","2005",12930,74434.96,73
"87","low poverty","Visitors","2005",370,2180.17,2
"88","moderate poverty","Visitors","2005",1848,10124.96,14
"89","high poverty","Books","2006",71647,399619.21,880
"90","highest poverty","Books","2006",191869,1456870.74,3016
"91","low poverty","Books","2006",4340,33168.9,66
"92","moderate poverty","Books","2006",24474,156443.48,363
"93","high poverty","Other","2006",34305,161792.81,297
"94","highest poverty","Other","2006",204741,671619.4,1063
"95","low poverty","Other","2006",1572,12480.06,19
"96","moderate poverty","Other","2006",12142,77601.62,124
"97","high poverty","Supplies","2006",140651,761437.33,1546
"98","highest poverty","Supplies","2006",639561,2796487.37,5680
"99","low poverty","Supplies","2006",7805,66597.99,121
"100","moderate poverty","Supplies","2006",68252,345497.61,717
"101","high poverty","Technology","2006",132482,1112665.58,1119
